A01stg	1
A02stg	1
A03stg	2
A05stg	1
A07stg	1
A08stg	1
A09stg	1
B01stg	1
B02stg	1
B05stg	2
B06stg	2
B07stg	2
B08stg	2
B10stg	2
B11stg	2
B12stg	2
C02stg	1
C04stg	1
C05stg	2
C08stg	2
C09stg	2
C10stg	2
C11stg	2
C12stg	2
D01stg	2
D02stg	2
D03stg	2
D04stg	1
D05stg	1
D06stg	1
D07stg	1
D08stg	1
D09stg	1
D10stg	1
D11stg	1
D12stg	2
E01stg	2
E02stg	2
E03stg	2
E04stg	2
E05stg	2
E06stg	2
E07stg	2
E08stg	2
E09stg	2
E10stg	2
E11stg	2
E12stg	2
F01stg	2
F02stg	2
F03stg	2
F04stg	2
F05stg	2
H04stg	2
H05stg	2
H06stg	2
H07stg	2
H08stg	2
H09stg	2
H10stg	2
H11stg	2
