A01_trimmedstg	1
A02_trimmedstg	1
A03_trimmedstg	2
A05_trimmedstg	1
A07_trimmedstg	1
A08_trimmedstg	1
A09_trimmedstg	1
B01_trimmedstg	1
B02_trimmedstg	1
B05_trimmedstg	2
B06_trimmedstg	2
B07_trimmedstg	2
B08_trimmedstg	2
B10_trimmedstg	2
B11_trimmedstg	2
B12_trimmedstg	2
C02_trimmedstg	1
C04_trimmedstg	1
C05_trimmedstg	2
C08_trimmedstg	2
C09_trimmedstg	2
C10_trimmedstg	2
C11_trimmedstg	2
C12_trimmedstg	2
D01_trimmedstg	2
D02_trimmedstg	2
D03_trimmedstg	2
D04_trimmedstg	1
D05_trimmedstg	1
D06_trimmedstg	1
D07_trimmedstg	1
D08_trimmedstg	1
D09_trimmedstg	1
D10_trimmedstg	1
D11_trimmedstg	1
D12_trimmedstg	2
E01_trimmedstg	2
E02_trimmedstg	2
E03_trimmedstg	2
E04_trimmedstg	2
E05_trimmedstg	2
E06_trimmedstg	2
E07_trimmedstg	2
E08_trimmedstg	2
E09_trimmedstg	2
E10_trimmedstg	2
E11_trimmedstg	2
E12_trimmedstg	2
F01_trimmedstg	2
F02_trimmedstg	2
F03_trimmedstg	2
F04_trimmedstg	2
F05_trimmedstg	2
F06_trimmedstg	1
F07_trimmedstg	1
F09_trimmedstg	1
F11_trimmedstg	1
F12_trimmedstg	1
G01_trimmedstg	1
G06_trimmedstg	1
G07_trimmedstg	1
G08_trimmedstg	1
G09_trimmedstg	1
G10_trimmedstg	1
G11_trimmedstg	1
G12_trimmedstg	1
H01_trimmedstg	1
H02_trimmedstg	1
H03_trimmedstg	1
H04_trimmedstg	2
H05_trimmedstg	2
H06_trimmedstg	2
H07_trimmedstg	2
H08_trimmedstg	2
H09_trimmedstg	2
H10_trimmedstg	2
H11_trimmedstg	2
